origem,cenario,threshold,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
Baseline (Fase 1) thr=0.50,B,0.5,-1.2606,0.4990061053528326,0.36039130836042205,0.1707103825136612,0.6541634146316301,0.20652071801786287,0.22369132676457745
Baseline (Fase 1) thr=0.40,B,0.4,-1.2606,0.8097401675422405,0.3817933509178304,0.12260561109319575,0.6541634146316301,0.20652071801786287,0.22369132676457745
AG Coevo | Exp1_conservador,B,0.45,-1.2368,0.6357376118131478,0.3795520819205208,0.14531675970401142,0.6506727688458559,0.20523479738257214,0.22126396338600302
AG Coevo | Cenário A,A,0.45,-1.2542,0.633749822518813,0.37484148912048504,0.1423015000079703,0.6489260508762116,0.20298064247432715,0.22411638846073723
AG Coevo | Cenário B,B,0.5,-1.2404,0.4883572341331819,0.3558054371663839,0.1705931951195318,0.6524821906994487,0.20768655327384458,0.22053058178863205
AG Coevo | Cenário C,C,0.35,-1.2405,0.9278006531307681,0.37315265309851753,0.1100343515306638,0.6506267600817659,0.20653343810564567,0.2215694019504705
