origem,modelo,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
RF baseline (Fase 1),RF,0.0,0.8583700127786454,0.3741721854304636,0.1149050614867048,0.6416663284913967,0.1983262663302719,0.22618507557226014
HistGB baseline (Fase 1),HISTGB,0.0,0.8097401675422405,0.3817933509178304,0.12260561109319575,0.6541634146316301,0.20652071801786287,0.22369132676457745
Exp1_conservador,RF,-0.5254,0.8578730654550618,0.37013213754066127,0.11304551195097993,0.6336952197269394,0.1926419938302978,0.23028995632082636
Exp2_padrao,RF,-0.5253,0.8477921340337924,0.37033821039378284,0.11385586392975297,0.6336833672280927,0.19259308023439015,0.23029515816117777
Exp3_exploratorio,RF,-0.5246,0.8276302711912538,0.3782584149356591,0.11925488711805804,0.6458832477732248,0.19984350766790662,0.22176575507347068
Exp4_hotstart,RF,-0.5242,0.9921908277722561,0.3640095221723888,0.10304580878720628,0.6395751017053751,0.1905014216088761,0.23391125865135945
