origem,cv_fitness,recall,f2,precision,roc_auc,average_precision,brier
Baseline (sample_weight),0.0,0.8097401675422405,0.3817933509178304,0.12260561109319575,0.6541634146316301,0.20652071801786287,0.22369132676457745
Exp1_SMOTE_k5_padrao,-0.9579,0.08299020303847793,0.09783081712583269,0.3436213991769547,0.6265592336514836,0.18609644847275547,0.0914539946821365
Exp2_SMOTE_k5_hotstart,-0.946,0.09846656254437029,0.1138995187806921,0.30530486462689854,0.6209969548447177,0.17818145830525745,0.09348135576741372
Exp3_SMOTE_k10_padrao,-0.9584,0.08455203748402669,0.09916570914722486,0.3212840571891017,0.631084738988361,0.18544845609748112,0.09192860457293921
Exp4_BorderlineSMOTE_padrao,-0.9457,0.11280704245349993,0.12876823338735818,0.29667662434652725,0.6288184224119246,0.18212413066690503,0.09418386158927666
